Total words count is: 74058
Total names count is: 9881
First letters count: 
A : 735
B : 736
C : 830
D : 418
E : 339
F : 275
G : 426
H : 460
I : 186
J : 297
K : 335
L : 475
M : 925
N : 296
O : 191
P : 545
Q : 33
R : 403
S : 831
T : 462
U : 69
V : 180
W : 275
X : 22
Y : 78
Z : 84
a : 3615
b : 3697
c : 6233
d : 4093
e : 2597
f : 2837
g : 2081
h : 2295
i : 2673
j : 574
k : 461
l : 1960
m : 3322
n : 1171
o : 1570
p : 5163
q : 323
r : 3784
s : 7727
t : 3277
u : 1631
v : 979
w : 1768
x : 11
y : 194
z : 105
Å : 1
é : 10
